NODE,Total Profit ($)
AZPS_PNPKWALC230-APND,0.0
AZPS_PINT-APND,0.0
AZPS_PINPKSRP230_SRP-APND,0.0
AZPS_PINPKAPS230_WALC-APND,0.0
AZPS_PINPKAPS230_SRP-APND,0.0
AZPS_PARKER230-APND,0.0
AZPS_PANDA230-APND,0.0
AZPS_PALOVERDE500_EPE-APND,0.0
AZPS_ORACLE115-APND,0.0
AZPS_FOURCORNE500_TEPC-APND,0.0
AZPS_NRTHGILA69-APND,0.0
AZPS_NECLOAD-APND,0.0
AZPS_NAVAJO-APND,0.0
AZPS_MEAD5MSCHD-APND,0.0
AZPS_LIBERTY230-APND,0.0
AZPS_KYRENE230-APND,0.0
AZPS_KNOX230-APND,0.0
AZPS_JOJOBA500-APND,0.0
AZPS_GILARIVER500-APND,0.0
AZPS_GILA69-APND,0.0
WALC_WALC.SYS-APND,0.0
NWMT_GARRISON-APND,0.0
TPWR_TPWR.STAR-APND,0.0
WALC_SADLBROKRNCH-APND,0.0
WALC_BCTAP230-APND,0.0
WALC_NRTHGILA69-APND,0.0
WALC_LIBERTY230_WALC-APND,0.0
WALC_LIBERTY_230UNS-APND,0.0
WALC_MCC230.LDWP-APND,0.0
WALC_MEAD230.LDWP-APND,0.0
WALC_SAGUARO115-APND,0.0
WALC_MEAD230_NEVP-APND,0.0
WALC_RACEWAY230-APND,0.0
TPWR_BPAT.TPU-APND,0.0
WALC_PPKWALC230_WALC-APND,0.0
WALC_PPKSRP230_WALC-APND,0.0
WALC_PNPKWALC230-APND,0.0
WALC_PINPKAPS230_WALC-APND,0.0
WALC_PARKER230-APND,0.0
WALC_MEAD500-APND,0.0
WALC_ORACLE115-APND,0.0
WALC_MRKTPLACE.LDWP-APND,0.0
TPWR_MAINCANALGEN-APND,0.0
WALC_GILA69-APND,0.0
WALC_LIBERTY230-APND,0.0
WALC_SUNVALLEY230-APND,0.0
WALC_GREENLEE_WALC-APND,0.0
WALC_DUKE500_WALC-APND,0.0
WALC_GRENLESWT345-APND,0.0
WALC_TESTTRACK230-APND,0.0
WALC_SANTAROSA230-APND,0.0
WALC_SWAZSYS-APND,0.0
WALC_BUCKEYE230-APND,0.0
WALC_BLACKMESA230-APND,0.0
WALC_COOLIDGE_WALC-APND,0.0
WALC_SUNDANCE-APND,0.0
WALC_SRP_SYSTEM-APND,0.0
WALC_GRIFFITH230_TE-APND,0.0
WALC_SRPNETWORK_WALC-APND,0.0
WALC_HILLTOP230-APND,0.0
WALC_HAYDEN115_WALC-APND,0.0
WALC_HACKBERRY230-APND,0.0
TIDC_WESTLEY-APND,0.0
PGSF_2_PDRP03-APND,-0.08519176999999956
PGSF_2_PDRP58-APND,-0.08519176999999956
PGSF_2_PDRP04-APND,-0.08519176999999956
PGSF_2_PDRP08-APND,-0.08519176999999956
PGSF_2_PDRP100-APND,-0.08519176999999956
PGSF_2_PDRP12-APND,-0.08519176999999956
PGSF_2_PDRP13-APND,-0.08519176999999956
PGSF_2_PDRP18-APND,-0.08519176999999956
PGSF_2_PDRP19-APND,-0.08519176999999956
PGSF_2_PDRP20-APND,-0.08519176999999956
PGSF_2_PDRP46-APND,-0.08519176999999956
PGSF_2_PDRP21-APND,-0.08519176999999956
PGSF_2_PDRP22-APND,-0.08519176999999956
PGSF_2_PDRP49-APND,-0.08519176999999956
PGSF_2_PDRP26-APND,-0.08519176999999956
PGSF_2_PDRP27-APND,-0.08519176999999956
PGSF_2_PDRP28-APND,-0.08519176999999956
