INTERVALSTARTTIME_GMT,INTERVALENDTIME_GMT,OPR_DT,OPR_HR,OPR_INTERVAL,NODE_ID_XML,NODE_ID,NODE,MARKET_RUN_ID,LMP_TYPE,XML_DATA_ITEM,PNODE_RESMRID,GRP_TYPE,POS,MW,GROUP
2025-04-08T06:00:00-00:00,2025-04-08T07:00:00-00:00,2025-04-07,24,0,POD_ADLIN_1_UNITS-APND,POD_ADLIN_1_UNITS-APND,POD_ADLIN_1_UNITS-APND,DAM,MCC,LMP_CONG_PRC,POD_ADLIN_1_UNITS-APND,ALL_APNODES,0,-29.01775,2
2025-04-08T01:00:00-00:00,2025-04-08T02:00:00-00:00,2025-04-07,19,0,POD_ADLIN_1_UNITS-APND,POD_ADLIN_1_UNITS-APND,POD_ADLIN_1_UNITS-APND,DAM,MCC,LMP_CONG_PRC,POD_ADLIN_1_UNITS-APND,ALL_APNODES,0,-103.37634,2
2025-04-07T19:00:00-00:00,2025-04-07T20:00:00-00:00,2025-04-07,13,0,POD_ADLIN_1_UNITS-APND,POD_ADLIN_1_UNITS-APND,POD_ADLIN_1_UNITS-APND,DAM,MCC,LMP_CONG_PRC,POD_ADLIN_1_UNITS-APND,ALL_APNODES,0,-75.629,2
2025-04-07T18:00:00-00:00,2025-04-07T19:00:00-00:00,2025-04-07,12,0,POD_ADLIN_1_UNITS-APND,POD_ADLIN_1_UNITS-APND,POD_ADLIN_1_UNITS-APND,DAM,MCC,LMP_CONG_PRC,POD_ADLIN_1_UNITS-APND,ALL_APNODES,0,-78.64245,2
2025-04-08T03:00:00-00:00,2025-04-08T04:00:00-00:00,2025-04-07,21,0,POD_ADLIN_1_UNITS-APND,POD_ADLIN_1_UNITS-APND,POD_ADLIN_1_UNITS-APND,DAM,MCC,LMP_CONG_PRC,POD_ADLIN_1_UNITS-APND,ALL_APNODES,0,-36.65016,2
2025-04-07T11:00:00-00:00,2025-04-07T12:00:00-00:00,2025-04-07,5,0,POD_ADLIN_1_UNITS-APND,POD_ADLIN_1_UNITS-APND,POD_ADLIN_1_UNITS-APND,DAM,MCC,LMP_CONG_PRC,POD_ADLIN_1_UNITS-APND,ALL_APNODES,0,-39.26679,2
2025-04-07T22:00:00-00:00,2025-04-07T23:00:00-00:00,2025-04-07,16,0,POD_ADLIN_1_UNITS-APND,POD_ADLIN_1_UNITS-APND,POD_ADLIN_1_UNITS-APND,DAM,MCC,LMP_CONG_PRC,POD_ADLIN_1_UNITS-APND,ALL_APNODES,0,-72.92715,2
2025-04-07T17:00:00-00:00,2025-04-07T18:00:00-00:00,2025-04-07,11,0,POD_ADLIN_1_UNITS-APND,POD_ADLIN_1_UNITS-APND,POD_ADLIN_1_UNITS-APND,DAM,MCC,LMP_CONG_PRC,POD_ADLIN_1_UNITS-APND,ALL_APNODES,0,-75.47922,2
2025-04-08T02:00:00-00:00,2025-04-08T03:00:00-00:00,2025-04-07,20,0,POD_ADLIN_1_UNITS-APND,POD_ADLIN_1_UNITS-APND,POD_ADLIN_1_UNITS-APND,DAM,MCC,LMP_CONG_PRC,POD_ADLIN_1_UNITS-APND,ALL_APNODES,0,-56.35361,2
2025-04-07T16:00:00-00:00,2025-04-07T17:00:00-00:00,2025-04-07,10,0,POD_ADLIN_1_UNITS-APND,POD_ADLIN_1_UNITS-APND,POD_ADLIN_1_UNITS-APND,DAM,MCC,LMP_CONG_PRC,POD_ADLIN_1_UNITS-APND,ALL_APNODES,0,-85.3897,2
